target,feature_set,n_features,val_r2,val_rmse,val_corr,test_r2,test_rmse,test_corr
sm_anomaly,BASE,19,0.941,0.00538,0.9728,0.3316,0.01548,0.6232
sm_anomaly,FULL,27,0.8786,0.00771,0.9394,0.4054,0.0146,0.6969
