state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
BIHAR,LAKHISARAI,ssp245,2030,66,8.61,Low Risk,23.19,1.4,0.0
BIHAR,JAMUI,ssp245,2030,67,8.36,Low Risk,22.72,1.16,0.0
TELANGANA,BHADRADRI KOTHAGUDEM,ssp245,2030,68,8.15,Low Risk,21.08,2.2,0.0
TELANGANA,JAGTIAL,ssp245,2030,69,8.06,Low Risk,22.86,0.17,0.0
BIHAR,JEHANABAD,ssp245,2030,70,8.05,Low Risk,18.96,4.04,0.0
BIHAR,GAYA,ssp245,2030,71,7.62,Low Risk,20.27,1.49,0.0
MAHARASHTRA,SANGLI,ssp245,2030,72,7.61,Low Risk,17.04,4.7,0.0
BIHAR,NALANDA,ssp245,2030,73,7.4,Low Risk,14.35,6.8,0.0
TELANGANA,NIRMAL,ssp245,2030,74,7.08,Low Risk,19.62,0.61,0.0
TELANGANA,KAMAREDDY,ssp245,2030,75,7.07,Low Risk,18.58,1.61,0.0
BIHAR,SHEIKHPURA,ssp245,2030,76,6.96,Low Risk,17.79,2.1,0.0
BIHAR,NAWADA,ssp245,2030,77,6.72,Low Risk,17.7,1.49,0.0
TELANGANA,HANUMAKONDA,ssp245,2030,78,6.49,Low Risk,18.43,0.1,0.0
TELANGANA,MEDAK,ssp245,2030,79,6.4,Low Risk,18.19,0.1,0.0
MAHARASHTRA,NANDED,ssp245,2030,80,6.38,Low Risk,15.58,2.64,0.0
TELANGANA,SANGAREDDY,ssp245,2030,81,6.26,Low Risk,16.4,1.49,0.0
MAHARASHTRA,PARBHANI,ssp245,2030,82,6.03,Low Risk,14.79,2.43,0.0
TELANGANA,MEDCHAL-MALKAJGIRI,ssp245,2030,83,5.9,Low Risk,16.65,0.21,0.0
TELANGANA,WARANGAL,ssp245,2030,84,5.77,Low Risk,15.34,1.14,0.0
TELANGANA,RAJANNA SIRCILLA,ssp245,2030,85,5.73,Low Risk,16.38,0.0,0.0
TELANGANA,NIZAMABAD,ssp245,2030,86,5.62,Low Risk,15.82,0.25,0.0
TELANGANA,JOGULAMBA GADWAL,ssp245,2030,87,5.33,Low Risk,0.1,7.61,8.77
TELANGANA,SIDDIPET,ssp245,2030,88,5.02,Low Risk,14.14,0.21,0.0
TELANGANA,YADADRI BHUVANAGIRI,ssp245,2030,89,4.82,Low Risk,11.93,1.84,0.0
MAHARASHTRA,LATUR,ssp245,2030,90,4.8,Low Risk,11.3,2.41,0.0
TELANGANA,JANGAON,ssp245,2030,91,4.71,Low Risk,12.16,1.31,0.0
TELANGANA,MAHABUBABAD,ssp245,2030,92,4.25,Low Risk,11.96,0.18,0.0
TELANGANA,VIKARABAD,ssp245,2030,93,3.83,Low Risk,7.49,3.44,0.0
TELANGANA,KHAMMAM,ssp245,2030,94,3.81,Low Risk,10.71,0.17,0.0
MAHARASHTRA,BEED,ssp245,2030,95,3.56,Low Risk,6.75,3.42,0.0
TELANGANA,RANGA REDDY,ssp245,2030,96,3.44,Low Risk,6.99,2.85,0.0
TELANGANA,NALGONDA,ssp245,2030,97,3.21,Low Risk,6.05,3.12,0.0
TELANGANA,SURYAPET,ssp245,2030,98,2.93,Low Risk,5.31,3.06,0.0
MAHARASHTRA,DHARASHIV,ssp245,2030,99,2.64,Low Risk,4.41,3.12,0.0
MAHARASHTRA,SOLAPUR,ssp245,2030,100,2.3,Low Risk,3.07,3.51,0.0
TELANGANA,NAGARKURNOOL,ssp245,2030,101,2.04,Low Risk,3.2,2.62,0.0
TELANGANA,NARAYANPET,ssp245,2030,102,1.87,Low Risk,0.98,4.37,0.0
TELANGANA,MAHBUBNAGAR,ssp245,2030,103,1.44,Low Risk,0.0,4.12,0.0
TELANGANA,WANAPARTHY,ssp245,2030,104,1.44,Low Risk,1.15,2.97,0.0
MAHARASHTRA,MUMBAI,ssp245,2030,105,,Low Risk,96.8,,0.0
MAHARASHTRA,MUMBAI SUBURBAN,ssp245,2030,106,,Low Risk,98.86,,0.0
TELANGANA,HYDERABAD,ssp245,2030,107,,Low Risk,15.0,,0.0
MAHARASHTRA,SINDHUDURG,ssp245,2035,1,77.5,Very High Risk,99.2,80.75,48.39
MAHARASHTRA,RATNAGIRI,ssp245,2035,2,75.48,Very High Risk,100.0,79.67,42.0
MAHARASHTRA,RAIGAD,ssp245,2035,3,56.56,High Risk,98.33,61.15,2.46
BIHAR,KISHANGANJ,ssp245,2035,4,54.75,High Risk,61.68,66.84,32.56
MAHARASHTRA,KOLHAPUR,ssp245,2035,5,44.28,Moderate Risk,64.39,31.17,36.1
MAHARASHTRA,PALGHAR,ssp245,2035,6,43.24,Moderate Risk,99.64,23.91,0.0
MAHARASHTRA,THANE,ssp245,2035,7,37.35,Moderate Risk,96.85,9.87,0.0
BIHAR,SIWAN,ssp245,2035,8,26.08,Moderate Risk,20.07,54.43,0.0
BIHAR,SAHARSA,ssp245,2035,9,24.88,Low Risk,28.26,27.51,17.88
BIHAR,GOPALGANJ,ssp245,2035,10,24.6,Low Risk,22.67,47.61,0.0
BIHAR,SARAN,ssp245,2035,11,23.39,Low Risk,16.87,49.96,0.0
BIHAR,ARARIA,ssp245,2035,12,23.32,Low Risk,47.87,18.77,0.0
BIHAR,PURBA CHAMPARAN,ssp245,2035,13,22.17,Low Risk,25.81,37.53,0.0
BIHAR,SUPAUL,ssp245,2035,14,20.05,Low Risk,41.9,15.39,0.0
MAHARASHTRA,NASHIK,ssp245,2035,15,18.99,Low Risk,44.37,9.89,0.0
MAHARASHTRA,SATARA,ssp245,2035,16,18.74,Low Risk,45.57,7.49,0.55
TELANGANA,BHADRADRI KOTHAGUDEM,ssp245,2035,17,18.59,Low Risk,21.68,12.53,22.05
BIHAR,VAISHALI,ssp245,2035,18,17.97,Low Risk,13.0,38.35,0.0
BIHAR,MUZAFFARPUR,ssp245,2035,19,17.88,Low Risk,22.99,28.11,0.0
MAHARASHTRA,SANGLI,ssp245,2035,20,16.93,Low Risk,17.76,13.87,19.52
BIHAR,MADHEPURA,ssp245,2035,21,16.8,Low Risk,25.36,22.65,0.0
MAHARASHTRA,PUNE,ssp245,2035,22,16.3,Low Risk,38.28,8.28,0.0
TELANGANA,KUMURAM BHEEM,ssp245,2035,23,16.14,Low Risk,43.81,2.31,0.0
MAHARASHTRA,AMRAVATI,ssp245,2035,24,16.13,Low Risk,42.17,3.93,0.0
BIHAR,BHAGALPUR,ssp245,2035,25,16.02,Low Risk,27.55,18.22,0.0
MAHARASHTRA,BHANDARA,ssp245,2035,26,15.47,Low Risk,43.34,0.86,0.0
MAHARASHTRA,AKOLA,ssp245,2035,27,15.25,Low Risk,37.99,5.58,0.0
MAHARASHTRA,WARDHA,ssp245,2035,28,15.04,Low Risk,40.21,2.75,0.0
BIHAR,PASHCHIM CHAMPARAN,ssp245,2035,29,14.7,Low Risk,38.83,3.16,0.0
MAHARASHTRA,NANDURBAR,ssp245,2035,30,14.67,Low Risk,33.6,8.32,0.0
MAHARASHTRA,GONDIA,ssp245,2035,31,14.63,Low Risk,41.36,0.45,0.0
BIHAR,BUXAR,ssp245,2035,32,14.5,Low Risk,15.24,26.18,0.0
MAHARASHTRA,NAGPUR,ssp245,2035,33,14.49,Low Risk,40.52,0.89,0.0
MAHARASHTRA,GADCHIROLI,ssp245,2035,34,14.2,Low Risk,39.59,0.97,0.0
BIHAR,PURNIA,ssp245,2035,35,14.15,Low Risk,37.01,3.42,0.0
MAHARASHTRA,CHANDRAPUR,ssp245,2035,36,13.71,Low Risk,37.29,1.87,0.0
