state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
BIHAR,PATNA,ssp245,2040,72,8.62,Low Risk,14.49,10.15,0.0
BIHAR,SAMASTIPUR,ssp245,2040,73,8.43,Low Risk,22.11,1.98,0.0
TELANGANA,JAGTIAL,ssp245,2040,74,8.29,Low Risk,23.69,0.0,0.0
BIHAR,BEGUSARAI,ssp245,2040,75,8.18,Low Risk,20.22,3.14,0.0
TELANGANA,NAGARKURNOOL,ssp245,2040,76,8.1,Low Risk,3.18,8.66,13.17
BIHAR,GAYA,ssp245,2040,77,7.7,Low Risk,20.72,1.28,0.0
TELANGANA,NARAYANPET,ssp245,2040,78,7.67,Low Risk,1.52,9.89,12.27
TELANGANA,KAMAREDDY,ssp245,2040,79,7.56,Low Risk,20.07,1.52,0.0
BIHAR,JEHANABAD,ssp245,2040,80,7.41,Low Risk,19.5,1.67,0.0
TELANGANA,NIRMAL,ssp245,2040,81,7.36,Low Risk,20.81,0.21,0.0
BIHAR,SHEIKHPURA,ssp245,2040,82,7.22,Low Risk,18.58,2.04,0.0
TELANGANA,MEDAK,ssp245,2040,83,7.02,Low Risk,20.05,0.0,0.0
MAHARASHTRA,LATUR,ssp245,2040,84,6.97,Low Risk,12.61,4.22,3.61
TELANGANA,SANGAREDDY,ssp245,2040,85,6.87,Low Risk,18.25,1.39,0.0
BIHAR,NAWADA,ssp245,2040,86,6.86,Low Risk,18.18,1.41,0.0
TELANGANA,HANUMAKONDA,ssp245,2040,87,6.8,Low Risk,19.42,0.0,0.0
MAHARASHTRA,NANDED,ssp245,2040,88,6.57,Low Risk,16.66,2.12,0.0
TELANGANA,MEDCHAL-MALKAJGIRI,ssp245,2040,89,6.5,Low Risk,18.51,0.07,0.0
BIHAR,NALANDA,ssp245,2040,90,6.07,Low Risk,14.99,2.36,0.0
TELANGANA,RAJANNA SIRCILLA,ssp245,2040,91,6.05,Low Risk,17.28,0.0,0.0
MAHARASHTRA,PARBHANI,ssp245,2040,92,6.01,Low Risk,15.13,2.05,0.0
TELANGANA,WARANGAL,ssp245,2040,93,5.97,Low Risk,16.12,0.94,0.0
TELANGANA,NIZAMABAD,ssp245,2040,94,5.91,Low Risk,16.9,0.0,0.0
TELANGANA,SIDDIPET,ssp245,2040,95,5.32,Low Risk,15.21,0.0,0.0
TELANGANA,VIKARABAD,ssp245,2040,96,5.31,Low Risk,8.97,4.2,2.34
TELANGANA,YADADRI BHUVANAGIRI,ssp245,2040,97,5.16,Low Risk,13.22,1.52,0.0
TELANGANA,JANGAON,ssp245,2040,98,5.01,Low Risk,13.21,1.1,0.0
TELANGANA,RANGA REDDY,ssp245,2040,99,4.82,Low Risk,8.4,3.62,2.04
TELANGANA,MAHABUBABAD,ssp245,2040,100,4.52,Low Risk,12.92,0.0,0.0
TELANGANA,NALGONDA,ssp245,2040,101,3.4,Low Risk,6.88,2.84,0.0
TELANGANA,SURYAPET,ssp245,2040,102,3.13,Low Risk,6.22,2.72,0.0
TELANGANA,WANAPARTHY,ssp245,2040,103,2.95,Low Risk,1.21,4.22,3.5
TELANGANA,MAHBUBNAGAR,ssp245,2040,104,1.41,Low Risk,0.1,3.94,0.0
MAHARASHTRA,MUMBAI,ssp245,2040,105,,Low Risk,97.36,,1.32
MAHARASHTRA,MUMBAI SUBURBAN,ssp245,2040,106,,Low Risk,99.15,,0.65
TELANGANA,HYDERABAD,ssp245,2040,107,,Low Risk,16.64,,0.86
MAHARASHTRA,SINDHUDURG,ssp585,2030,1,81.37,Very High Risk,98.22,84.99,57.48
MAHARASHTRA,RATNAGIRI,ssp585,2030,2,81.23,Very High Risk,99.82,85.53,54.51
MAHARASHTRA,RAIGAD,ssp585,2030,3,66.49,High Risk,97.74,71.39,24.31
BIHAR,KISHANGANJ,ssp585,2030,4,55.65,High Risk,60.49,68.19,35.36
MAHARASHTRA,PALGHAR,ssp585,2030,5,53.55,High Risk,99.27,38.11,18.22
MAHARASHTRA,KOLHAPUR,ssp585,2030,6,49.9,Moderate Risk,63.32,41.27,44.3
MAHARASHTRA,THANE,ssp585,2030,7,45.98,Moderate Risk,96.43,18.61,19.04
BIHAR,SAHARSA,ssp585,2030,8,39.88,Moderate Risk,27.91,45.99,46.7
BIHAR,MADHUBANI,ssp585,2030,9,33.1,Moderate Risk,32.73,24.59,43.46
BIHAR,MADHEPURA,ssp585,2030,10,31.58,Moderate Risk,25.12,41.06,28.05
BIHAR,GOPALGANJ,ssp585,2030,11,28.86,Moderate Risk,21.77,56.55,4.81
MAHARASHTRA,SATARA,ssp585,2030,12,27.17,Moderate Risk,44.48,16.34,19.6
BIHAR,BANKA,ssp585,2030,13,26.51,Moderate Risk,24.42,20.31,36.18
BIHAR,SIWAN,ssp585,2030,14,26.08,Moderate Risk,19.44,54.71,0.41
TELANGANA,JOGULAMBA GADWAL,ssp585,2030,15,25.67,Moderate Risk,0.1,28.15,52.62
MAHARASHTRA,SANGLI,ssp585,2030,16,25.1,Moderate Risk,17.04,22.35,37.7
BIHAR,ARARIA,ssp585,2030,17,25.04,Moderate Risk,46.84,24.71,0.0
BIHAR,SARAN,ssp585,2030,18,24.7,Low Risk,16.45,54.13,0.0
TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2030,19,24.45,Low Risk,21.08,18.66,35.12
BIHAR,PURBA CHAMPARAN,ssp585,2030,20,24.13,Low Risk,25.09,43.86,0.0
BIHAR,JAMUI,ssp585,2030,21,22.75,Low Risk,22.72,15.69,31.03
TELANGANA,KUMURAM BHEEM,ssp585,2030,22,22.12,Low Risk,43.31,8.6,13.17
BIHAR,SUPAUL,ssp585,2030,23,21.48,Low Risk,40.57,20.8,0.0
BIHAR,BUXAR,ssp585,2030,24,20.42,Low Risk,14.76,35.44,9.49
BIHAR,VAISHALI,ssp585,2030,25,19.95,Low Risk,12.7,44.3,0.0
BIHAR,MUZAFFARPUR,ssp585,2030,26,19.6,Low Risk,22.39,33.61,0.0
MAHARASHTRA,PUNE,ssp585,2030,27,19.19,Low Risk,37.86,11.25,6.66
MAHARASHTRA,DHULE,ssp585,2030,28,19.16,Low Risk,24.81,14.74,17.72
MAHARASHTRA,NASHIK,ssp585,2030,29,18.99,Low Risk,44.48,9.78,0.0
BIHAR,BHAGALPUR,ssp585,2030,30,17.68,Low Risk,27.23,23.28,0.0
BIHAR,AURANGABAD,ssp585,2030,31,17.56,Low Risk,29.28,8.71,14.22
MAHARASHTRA,GONDIA,ssp585,2030,32,17.29,Low Risk,40.76,3.43,6.09
MAHARASHTRA,GADCHIROLI,ssp585,2030,33,16.44,Low Risk,39.74,3.3,4.6
MAHARASHTRA,AMRAVATI,ssp585,2030,34,15.99,Low Risk,41.8,3.88,0.0
MAHARASHTRA,NANDURBAR,ssp585,2030,35,15.89,Low Risk,33.22,9.73,2.86
TELANGANA,NAGARKURNOOL,ssp585,2030,36,15.76,Low Risk,3.2,16.47,29.58
BIHAR,PURNIA,ssp585,2030,37,15.45,Low Risk,35.79,8.35,0.0
MAHARASHTRA,BHANDARA,ssp585,2030,38,15.36,Low Risk,42.96,0.94,0.0
MAHARASHTRA,AKOLA,ssp585,2030,39,15.16,Low Risk,37.6,5.7,0.0
BIHAR,PATNA,ssp585,2030,40,14.97,Low Risk,14.15,22.83,6.77
MAHARASHTRA,WARDHA,ssp585,2030,41,14.9,Low Risk,39.8,2.78,0.0
TELANGANA,MULUGU,ssp585,2030,42,14.85,Low Risk,33.17,3.34,6.9
BIHAR,PASHCHIM CHAMPARAN,ssp585,2030,43,14.41,Low Risk,37.72,3.46,0.0
MAHARASHTRA,NAGPUR,ssp585,2030,44,14.36,Low Risk,40.08,0.95,0.0
BIHAR,BHOJPUR,ssp585,2030,45,14.33,Low Risk,13.86,24.14,3.43
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp585,2030,46,14.0,Low Risk,18.34,13.29,9.77
MAHARASHTRA,CHANDRAPUR,ssp585,2030,47,13.74,Low Risk,37.23,2.03,0.0
TELANGANA,MANCHERIAL,ssp585,2030,48,13.36,Low Risk,37.65,0.51,0.0
MAHARASHTRA,WASHIM,ssp585,2030,49,13.23,Low Risk,33.24,4.55,0.0
MAHARASHTRA,SOLAPUR,ssp585,2030,50,13.05,Low Risk,3.07,14.36,23.18
MAHARASHTRA,DHARASHIV,ssp585,2030,51,12.88,Low Risk,4.41,13.46,22.08
MAHARASHTRA,BULDHANA,ssp585,2030,52,12.7,Low Risk,29.79,6.5,0.0
MAHARASHTRA,JALGAON,ssp585,2030,53,12.36,Low Risk,28.32,6.19,0.94
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp585,2030,54,12.29,Low Risk,35.08,0.04,0.0
MAHARASHTRA,YAVATMAL,ssp585,2030,55,12.28,Low Risk,31.32,3.76,0.0
MAHARASHTRA,AHILYANAGAR,ssp585,2030,56,12.06,Low Risk,22.24,9.04,3.7
BIHAR,DARBHANGA,ssp585,2030,57,12.06,Low Risk,26.29,5.79,2.77
BIHAR,MUNGER,ssp585,2030,58,11.58,Low Risk,31.38,1.72,0.0
BIHAR,BEGUSARAI,ssp585,2030,59,11.53,Low Risk,19.91,13.02,0.0
MAHARASHTRA,BEED,ssp585,2030,60,11.32,Low Risk,6.75,11.25,16.72
BIHAR,KHAGARIA,ssp585,2030,61,11.02,Low Risk,28.01,3.49,0.0
BIHAR,SHEOHAR,ssp585,2030,62,10.93,Low Risk,23.3,7.94,0.0
TELANGANA,KHAMMAM,ssp585,2030,63,10.7,Low Risk,10.71,7.13,14.86
MAHARASHTRA,LATUR,ssp585,2030,64,10.69,Low Risk,11.3,8.36,12.7
BIHAR,KATIHAR,ssp585,2030,65,10.48,Low Risk,27.88,2.05,0.0
TELANGANA,ADILABAD,ssp585,2030,66,10.41,Low Risk,27.87,1.87,0.0
BIHAR,SITAMARHI,ssp585,2030,67,10.32,Low Risk,25.62,3.87,0.0
BIHAR,SAMASTIPUR,ssp585,2030,68,10.25,Low Risk,21.6,7.69,0.0
BIHAR,ROHTAS,ssp585,2030,69,10.24,Low Risk,26.84,2.43,0.0
MAHARASHTRA,HINGOLI,ssp585,2030,70,10.15,Low Risk,22.64,6.36,0.0
MAHARASHTRA,JALNA,ssp585,2030,71,10.1,Low Risk,22.57,6.29,0.0
TELANGANA,PEDDAPALLI,ssp585,2030,72,9.97,Low Risk,28.02,0.47,0.0
BIHAR,KAIMUR (BHABUA),ssp585,2030,73,9.93,Low Risk,25.77,2.59,0.0
TELANGANA,KARIMNAGAR,ssp585,2030,74,9.55,Low Risk,26.9,0.38,0.0
BIHAR,ARWAL,ssp585,2030,75,9.48,Low Risk,24.37,2.72,0.0
BIHAR,JEHANABAD,ssp585,2030,76,9.2,Low Risk,18.96,5.26,2.4
BIHAR,LAKHISARAI,ssp585,2030,77,8.61,Low Risk,23.19,1.4,0.0
TELANGANA,JAGTIAL,ssp585,2030,78,8.06,Low Risk,22.86,0.17,0.0
BIHAR,GAYA,ssp585,2030,79,7.62,Low Risk,20.27,1.49,0.0
BIHAR,NALANDA,ssp585,2030,80,7.48,Low Risk,14.35,7.02,0.0
TELANGANA,NIRMAL,ssp585,2030,81,7.08,Low Risk,19.62,0.61,0.0
TELANGANA,KAMAREDDY,ssp585,2030,82,7.07,Low Risk,18.58,1.61,0.0
BIHAR,SHEIKHPURA,ssp585,2030,83,6.96,Low Risk,17.79,2.1,0.0
BIHAR,NAWADA,ssp585,2030,84,6.72,Low Risk,17.7,1.49,0.0
TELANGANA,MAHABUBABAD,ssp585,2030,85,6.61,Low Risk,11.96,2.56,5.08
TELANGANA,HANUMAKONDA,ssp585,2030,86,6.49,Low Risk,18.43,0.1,0.0
TELANGANA,MEDAK,ssp585,2030,87,6.4,Low Risk,18.19,0.1,0.0
MAHARASHTRA,NANDED,ssp585,2030,88,6.38,Low Risk,15.58,2.64,0.0
TELANGANA,SANGAREDDY,ssp585,2030,89,6.26,Low Risk,16.4,1.49,0.0
MAHARASHTRA,PARBHANI,ssp585,2030,90,6.03,Low Risk,14.79,2.43,0.0
TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,2030,91,5.9,Low Risk,16.65,0.21,0.0
TELANGANA,WARANGAL,ssp585,2030,92,5.77,Low Risk,15.34,1.14,0.0
TELANGANA,RAJANNA SIRCILLA,ssp585,2030,93,5.73,Low Risk,16.38,0.0,0.0
TELANGANA,NIZAMABAD,ssp585,2030,94,5.62,Low Risk,15.82,0.25,0.0
TELANGANA,WANAPARTHY,ssp585,2030,95,5.53,Low Risk,1.15,7.1,8.8
TELANGANA,SIDDIPET,ssp585,2030,96,5.02,Low Risk,14.14,0.21,0.0
TELANGANA,YADADRI BHUVANAGIRI,ssp585,2030,97,4.82,Low Risk,11.93,1.84,0.0
TELANGANA,JANGAON,ssp585,2030,98,4.71,Low Risk,12.16,1.31,0.0
TELANGANA,VIKARABAD,ssp585,2030,99,3.83,Low Risk,7.49,3.44,0.0
TELANGANA,RANGA REDDY,ssp585,2030,100,3.44,Low Risk,6.99,2.85,0.0
TELANGANA,NALGONDA,ssp585,2030,101,3.21,Low Risk,6.05,3.12,0.0
TELANGANA,SURYAPET,ssp585,2030,102,2.93,Low Risk,5.31,3.06,0.0
TELANGANA,NARAYANPET,ssp585,2030,103,2.71,Low Risk,0.98,5.21,1.81
TELANGANA,MAHBUBNAGAR,ssp585,2030,104,1.44,Low Risk,0.0,4.12,0.0
MAHARASHTRA,MUMBAI,ssp585,2030,105,,Low Risk,96.8,,12.43
MAHARASHTRA,MUMBAI SUBURBAN,ssp585,2030,106,,Low Risk,98.86,,15.19
TELANGANA,HYDERABAD,ssp585,2030,107,,Low Risk,15.0,,4.18
MAHARASHTRA,RATNAGIRI,ssp585,2035,1,90.2,Very High Risk,100.0,94.52,73.71
MAHARASHTRA,SINDHUDURG,ssp585,2035,2,88.97,Very High Risk,99.2,92.33,73.13
MAHARASHTRA,RAIGAD,ssp585,2035,3,80.38,Very High Risk,98.33,85.21,53.82
MAHARASHTRA,PALGHAR,ssp585,2035,4,70.4,High Risk,99.64,52.05,57.71
BIHAR,KISHANGANJ,ssp585,2035,5,68.31,High Risk,61.68,80.53,61.8
MAHARASHTRA,KOLHAPUR,ssp585,2035,6,60.25,High Risk,64.39,47.78,69.97
MAHARASHTRA,THANE,ssp585,2035,7,55.22,High Risk,96.85,27.91,38.53
BIHAR,GOPALGANJ,ssp585,2035,8,52.67,High Risk,22.67,78.19,57.89
BIHAR,SAHARSA,ssp585,2035,9,49.97,Moderate Risk,28.26,53.72,70.91
BIHAR,PURBA CHAMPARAN,ssp585,2035,10,48.6,Moderate Risk,25.81,65.98,54.9
MAHARASHTRA,SATARA,ssp585,2035,11,46.51,Moderate Risk,45.57,35.53,60.42
TELANGANA,MULUGU,ssp585,2035,12,45.76,Moderate Risk,33.67,34.3,73.22
TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2035,13,45.73,Moderate Risk,21.68,39.93,80.55
BIHAR,SIWAN,ssp585,2035,14,45.64,Moderate Risk,20.07,74.18,42.18
BIHAR,ARARIA,ssp585,2035,15,45.16,Moderate Risk,47.87,41.7,46.02
BIHAR,BUXAR,ssp585,2035,16,44.38,Moderate Risk,15.24,57.51,63.05
BIHAR,MADHEPURA,ssp585,2035,17,42.97,Moderate Risk,25.36,50.13,55.15
BIHAR,MADHUBANI,ssp585,2035,18,41.57,Moderate Risk,33.68,32.88,60.9
TELANGANA,JOGULAMBA GADWAL,ssp585,2035,19,40.93,Moderate Risk,0.07,43.41,85.7
MAHARASHTRA,SANGLI,ssp585,2035,20,40.38,Moderate Risk,17.76,37.55,70.08
MAHARASHTRA,GADCHIROLI,ssp585,2035,21,39.33,Moderate Risk,39.59,26.35,54.18
MAHARASHTRA,PUNE,ssp585,2035,22,38.66,Moderate Risk,38.28,30.86,48.21
BIHAR,SUPAUL,ssp585,2035,23,38.55,Moderate Risk,41.9,34.62,39.21
MAHARASHTRA,SOLAPUR,ssp585,2035,24,38.0,Moderate Risk,3.13,39.5,76.93
BIHAR,BANKA,ssp585,2035,25,37.67,Moderate Risk,24.94,31.51,59.71
BIHAR,GAYA,ssp585,2035,26,36.79,Moderate Risk,20.49,30.8,62.8
BIHAR,BHAGALPUR,ssp585,2035,27,35.73,Moderate Risk,27.55,38.99,41.48
BIHAR,DARBHANGA,ssp585,2035,28,35.72,Moderate Risk,26.77,29.58,53.32
BIHAR,SITAMARHI,ssp585,2035,29,35.05,Moderate Risk,25.95,28.76,53.0
BIHAR,KHAGARIA,ssp585,2035,30,35.0,Moderate Risk,28.38,26.65,52.45
BIHAR,JAMUI,ssp585,2035,31,34.41,Moderate Risk,23.24,27.24,55.79
BIHAR,AURANGABAD,ssp585,2035,32,34.08,Moderate Risk,29.73,25.16,49.57
BIHAR,SHEIKHPURA,ssp585,2035,33,33.42,Moderate Risk,18.19,28.65,56.75
BIHAR,BHOJPUR,ssp585,2035,34,33.4,Moderate Risk,14.03,41.06,47.07
BIHAR,KATIHAR,ssp585,2035,35,32.9,Moderate Risk,28.63,23.85,48.45
TELANGANA,KUMURAM BHEEM,ssp585,2035,36,32.85,Moderate Risk,43.81,19.18,36.0
BIHAR,MUNGER,ssp585,2035,37,32.46,Moderate Risk,31.94,22.57,44.6
BIHAR,ARWAL,ssp585,2035,38,32.12,Moderate Risk,24.59,25.43,48.72
TELANGANA,NAGARKURNOOL,ssp585,2035,39,31.97,Moderate Risk,3.19,32.8,64.57
BIHAR,JEHANABAD,ssp585,2035,40,31.29,Moderate Risk,19.23,25.97,51.56
MAHARASHTRA,DHARASHIV,ssp585,2035,41,31.03,Moderate Risk,4.9,31.56,60.9
BIHAR,ROHTAS,ssp585,2035,42,30.98,Moderate Risk,27.1,23.21,44.58
BIHAR,PASHCHIM CHAMPARAN,ssp585,2035,43,30.96,Moderate Risk,38.83,19.58,35.06
BIHAR,KAIMUR (BHABUA),ssp585,2035,44,30.76,Moderate Risk,26.05,23.47,44.77
MAHARASHTRA,DHULE,ssp585,2035,45,30.56,Moderate Risk,24.78,26.07,42.55
BIHAR,NALANDA,ssp585,2035,46,30.39,Moderate Risk,14.67,27.04,52.63
BIHAR,PURNIA,ssp585,2035,47,30.31,Moderate Risk,37.01,19.89,34.66
TELANGANA,KHAMMAM,ssp585,2035,48,29.61,Moderate Risk,11.32,25.92,55.25
BIHAR,SHEOHAR,ssp585,2035,49,28.62,Moderate Risk,23.77,23.38,40.39
BIHAR,SARAN,ssp585,2035,50,28.48,Moderate Risk,16.87,57.47,8.2
BIHAR,NAWADA,ssp585,2035,51,28.37,Moderate Risk,17.94,23.24,46.52
TELANGANA,NARAYANPET,ssp585,2035,52,28.37,Moderate Risk,1.25,30.95,57.0
MAHARASHTRA,BEED,ssp585,2035,53,26.56,Moderate Risk,6.69,26.59,49.71
MAHARASHTRA,JALGAON,ssp585,2035,54,26.33,Moderate Risk,28.27,20.04,31.4
MAHARASHTRA,NANDURBAR,ssp585,2035,55,25.72,Moderate Risk,33.6,19.48,23.81
TELANGANA,WANAPARTHY,ssp585,2035,56,25.3,Moderate Risk,1.18,26.92,51.56
MAHARASHTRA,NASHIK,ssp585,2035,57,25.02,Moderate Risk,44.37,15.97,12.99
MAHARASHTRA,GONDIA,ssp585,2035,58,24.9,Low Risk,41.36,10.82,22.13
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp585,2035,59,24.67,Low Risk,17.98,24.02,33.22
MAHARASHTRA,LATUR,ssp585,2035,60,24.5,Low Risk,11.96,22.11,41.93
MAHARASHTRA,BHANDARA,ssp585,2035,61,23.65,Low Risk,43.34,9.12,17.62
MAHARASHTRA,BULDHANA,ssp585,2035,62,22.64,Low Risk,29.48,16.43,21.89
MAHARASHTRA,AMRAVATI,ssp585,2035,63,22.26,Low Risk,42.17,10.12,13.21
MAHARASHTRA,AKOLA,ssp585,2035,64,22.24,Low Risk,37.99,12.64,15.08
TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,2035,65,21.67,Low Risk,17.56,15.76,33.36
TELANGANA,MANCHERIAL,ssp585,2035,66,21.65,Low Risk,37.91,8.7,17.79
MAHARASHTRA,CHANDRAPUR,ssp585,2035,67,21.11,Low Risk,37.29,9.34,15.95
TELANGANA,VIKARABAD,ssp585,2035,68,20.51,Low Risk,8.23,19.92,35.53
MAHARASHTRA,JALNA,ssp585,2035,69,20.35,Low Risk,22.06,16.65,22.68
MAHARASHTRA,AHILYANAGAR,ssp585,2035,70,19.99,Low Risk,22.47,16.97,20.62
BIHAR,PATNA,ssp585,2035,71,19.86,Low Risk,14.32,24.92,20.43
MAHARASHTRA,WASHIM,ssp585,2035,72,19.67,Low Risk,33.42,10.79,13.99
BIHAR,VAISHALI,ssp585,2035,73,18.97,Low Risk,13.0,41.19,0.0
MAHARASHTRA,WARDHA,ssp585,2035,74,18.66,Low Risk,40.21,6.41,7.81
BIHAR,MUZAFFARPUR,ssp585,2035,75,18.58,Low Risk,22.99,30.11,0.0
MAHARASHTRA,NAGPUR,ssp585,2035,76,18.31,Low Risk,40.52,4.74,8.23
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp585,2035,77,18.26,Low Risk,35.42,5.92,12.65
MAHARASHTRA,YAVATMAL,ssp585,2035,78,16.64,Low Risk,31.55,7.97,9.35
TELANGANA,RANGA REDDY,ssp585,2035,79,16.17,Low Risk,7.7,15.39,26.96
TELANGANA,ADILABAD,ssp585,2035,80,16.02,Low Risk,28.59,7.19,11.64
TELANGANA,MAHABUBABAD,ssp585,2035,81,15.83,Low Risk,12.44,11.63,24.68
MAHARASHTRA,PARBHANI,ssp585,2035,82,15.48,Low Risk,14.96,11.79,20.38
TELANGANA,NALGONDA,ssp585,2035,83,15.25,Low Risk,6.38,15.07,25.8
MAHARASHTRA,NANDED,ssp585,2035,84,14.94,Low Risk,16.12,10.93,18.24
BIHAR,LAKHISARAI,ssp585,2035,85,11.82,Low Risk,23.65,4.45,6.63
MAHARASHTRA,HINGOLI,ssp585,2035,86,11.71,Low Risk,23.06,7.55,3.33
TELANGANA,SANGAREDDY,ssp585,2035,87,10.17,Low Risk,17.32,5.08,7.78
TELANGANA,PEDDAPALLI,ssp585,2035,88,10.05,Low Risk,28.41,0.31,0.0
BIHAR,BEGUSARAI,ssp585,2035,89,9.92,Low Risk,20.06,8.28,0.0
TELANGANA,KARIMNAGAR,ssp585,2035,90,9.7,Low Risk,27.49,0.23,0.0
BIHAR,SAMASTIPUR,ssp585,2035,91,8.68,Low Risk,21.86,2.93,0.0
TELANGANA,JAGTIAL,ssp585,2035,92,8.14,Low Risk,23.27,0.0,0.0
TELANGANA,KAMAREDDY,ssp585,2035,93,7.31,Low Risk,19.33,1.56,0.0
TELANGANA,NIRMAL,ssp585,2035,94,7.22,Low Risk,20.21,0.41,0.0
TELANGANA,YADADRI BHUVANAGIRI,ssp585,2035,95,6.88,Low Risk,12.57,3.59,4.08
TELANGANA,MEDAK,ssp585,2035,96,6.69,Low Risk,19.12,0.0,0.0
TELANGANA,WARANGAL,ssp585,2035,97,6.65,Low Risk,15.73,1.83,1.69
TELANGANA,HANUMAKONDA,ssp585,2035,98,6.63,Low Risk,18.93,0.0,0.0
TELANGANA,RAJANNA SIRCILLA,ssp585,2035,99,5.89,Low Risk,16.83,0.0,0.0
TELANGANA,NIZAMABAD,ssp585,2035,100,5.76,Low Risk,16.36,0.1,0.0
TELANGANA,MAHBUBNAGAR,ssp585,2035,101,5.61,Low Risk,0.0,8.27,9.06
TELANGANA,SIDDIPET,ssp585,2035,102,5.18,Low Risk,14.68,0.11,0.0
TELANGANA,JANGAON,ssp585,2035,103,4.86,Low Risk,12.68,1.2,0.0
TELANGANA,SURYAPET,ssp585,2035,104,3.02,Low Risk,5.75,2.89,0.0
MAHARASHTRA,MUMBAI,ssp585,2035,105,,Low Risk,97.08,,25.65
MAHARASHTRA,MUMBAI SUBURBAN,ssp585,2035,106,,Low Risk,99.0,,27.25
TELANGANA,HYDERABAD,ssp585,2035,107,,Low Risk,15.82,,19.68
MAHARASHTRA,RATNAGIRI,ssp585,2040,1,100.0,Very High Risk,100.0,100.0,100.0
MAHARASHTRA,SINDHUDURG,ssp585,2040,2,99.14,Very High Risk,99.42,98.11,100.0
MAHARASHTRA,RAIGAD,ssp585,2040,3,98.13,Very High Risk,98.92,100.0,95.03
BIHAR,KISHANGANJ,ssp585,2040,4,83.9,Very High Risk,62.47,91.54,100.0
MAHARASHTRA,PALGHAR,ssp585,2040,5,82.36,Very High Risk,100.0,60.1,87.74
MAHARASHTRA,THANE,ssp585,2040,6,74.79,High Risk,97.18,47.63,80.34
MAHARASHTRA,KOLHAPUR,ssp585,2040,7,70.11,High Risk,65.47,49.12,100.0
BIHAR,ARARIA,ssp585,2040,8,63.27,High Risk,48.89,55.17,89.48
MAHARASHTRA,SATARA,ssp585,2040,9,61.63,High Risk,46.66,47.3,95.81
TELANGANA,KUMURAM BHEEM,ssp585,2040,10,60.28,High Risk,44.31,42.2,100.0
BIHAR,SAHARSA,ssp585,2040,11,59.81,High Risk,28.62,56.54,100.0
BIHAR,GOPALGANJ,ssp585,2040,12,58.61,High Risk,23.56,81.27,73.05
MAHARASHTRA,GADCHIROLI,ssp585,2040,13,58.08,High Risk,39.44,40.8,100.0
MAHARASHTRA,PUNE,ssp585,2040,14,58.06,High Risk,38.7,48.44,91.88
BIHAR,PURBA CHAMPARAN,ssp585,2040,15,57.15,High Risk,26.52,71.67,75.93
TELANGANA,MULUGU,ssp585,2040,16,55.96,High Risk,34.16,40.0,100.0
BIHAR,SIWAN,ssp585,2040,17,55.05,High Risk,20.69,83.4,62.05
BIHAR,MADHEPURA,ssp585,2040,18,54.97,High Risk,25.6,59.56,83.88
BIHAR,MADHUBANI,ssp585,2040,19,54.66,High Risk,34.63,44.48,89.91
BIHAR,BANKA,ssp585,2040,20,54.21,High Risk,25.47,43.71,100.0
BIHAR,SARAN,ssp585,2040,21,53.08,High Risk,17.29,79.72,63.76
TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2040,22,52.57,High Risk,22.28,42.2,100.0
MAHARASHTRA,SANGLI,ssp585,2040,23,52.1,High Risk,18.47,44.75,99.9
BIHAR,SUPAUL,ssp585,2040,24,51.87,High Risk,43.23,44.44,70.63
BIHAR,KATIHAR,ssp585,2040,25,51.51,High Risk,29.39,41.07,89.5
BIHAR,BUXAR,ssp585,2040,26,51.32,High Risk,15.71,62.14,80.24
BIHAR,JAMUI,ssp585,2040,27,51.3,High Risk,23.75,41.05,95.41
BIHAR,DARBHANGA,ssp585,2040,28,51.28,High Risk,27.26,44.72,86.96
MAHARASHTRA,CHANDRAPUR,ssp585,2040,29,50.38,High Risk,37.34,38.78,79.11
BIHAR,AURANGABAD,ssp585,2040,30,50.29,High Risk,30.18,41.3,84.24
BIHAR,PURNIA,ssp585,2040,31,50.23,High Risk,38.23,37.45,79.15
MAHARASHTRA,GONDIA,ssp585,2040,32,49.25,Moderate Risk,41.96,35.11,74.24
MAHARASHTRA,DHULE,ssp585,2040,33,49.13,Moderate Risk,24.74,44.64,82.82
BIHAR,SITAMARHI,ssp585,2040,34,48.96,Moderate Risk,26.28,42.74,82.69
TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,2040,35,48.56,Moderate Risk,18.51,40.07,93.51
BIHAR,KHAGARIA,ssp585,2040,36,48.35,Moderate Risk,28.75,39.97,81.0
TELANGANA,RANGA REDDY,ssp585,2040,37,47.78,Moderate Risk,8.4,42.67,99.67
TELANGANA,MANCHERIAL,ssp585,2040,38,47.38,Moderate Risk,38.17,34.49,73.15
BIHAR,MUNGER,ssp585,2040,39,47.22,Moderate Risk,32.49,37.26,76.03
