scenario,year,overall_risk_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp245,2040,18,BIHAR,SIWAN,ssp245,2040,25.21,Moderate Risk,20.69,Low,51.33,High,0.0,Low,1.0181,,3.89
ssp245,2040,19,BIHAR,GOPALGANJ,ssp245,2040,23.35,Low Risk,23.56,Low,43.15,Moderate,0.0,Low,1.0194,0.832389730215084,4.1
ssp245,2040,20,MAHARASHTRA,SOLAPUR,ssp245,2040,22.68,Low Risk,3.29,Low,23.96,Low,43.82,Moderate,1.0459,0.7139089087645303,7.33
ssp585,2030,1,MAHARASHTRA,SINDHUDURG,ssp585,2030,81.37,Very High Risk,98.22,Very High,84.99,Very High,57.48,High,1.0341,0.6108547939194751,5.48
ssp585,2030,2,MAHARASHTRA,RATNAGIRI,ssp585,2030,81.23,Very High Risk,99.82,Very High,85.53,Very High,54.51,High,1.0323,0.6278515418370596,5.15
ssp585,2030,3,MAHARASHTRA,RAIGAD,ssp585,2030,66.49,High Risk,97.74,Very High,71.39,High,24.31,Low,1.0321,0.6352134870158459,4.66
ssp585,2030,4,BIHAR,KISHANGANJ,ssp585,2030,55.65,High Risk,60.49,High,68.19,High,35.36,Moderate,1.0251,,5.25
ssp585,2030,5,MAHARASHTRA,PALGHAR,ssp585,2030,53.55,High Risk,99.27,Very High,38.11,Moderate,18.22,Low,1.0478,0.600989811287991,6.74
ssp585,2030,6,MAHARASHTRA,KOLHAPUR,ssp585,2030,49.9,Moderate Risk,63.32,High,41.27,Moderate,44.3,Moderate,1.0347,0.5825651446978342,5.28
ssp585,2030,7,MAHARASHTRA,THANE,ssp585,2030,45.98,Moderate Risk,96.43,Very High,18.61,Low,19.04,Low,1.0424,0.600989811287991,5.82
ssp585,2030,8,BIHAR,SAHARSA,ssp585,2030,39.88,Moderate Risk,27.91,Moderate,45.99,Moderate,46.7,Moderate,1.0279,,5.74
ssp585,2030,9,BIHAR,MADHUBANI,ssp585,2030,33.1,Moderate Risk,32.73,Moderate,24.59,Low,43.46,Moderate,1.0357,0.6954428944322857,6.52
ssp585,2030,10,BIHAR,MADHEPURA,ssp585,2030,31.58,Moderate Risk,25.12,Moderate,41.06,Moderate,28.05,Moderate,1.0258,,5.11
ssp585,2030,11,BIHAR,GOPALGANJ,ssp585,2030,28.86,Moderate Risk,21.77,Low,56.55,High,4.81,Low,1.011,0.632389730215084,1.6
ssp585,2030,12,MAHARASHTRA,SATARA,ssp585,2030,27.17,Moderate Risk,44.48,Moderate,16.34,Low,19.6,Low,1.0351,0.6314131809605563,5.14
ssp585,2030,13,BIHAR,BANKA,ssp585,2030,26.51,Moderate Risk,24.42,Low,20.31,Low,36.18,Moderate,1.0096,,3.0
ssp585,2030,14,BIHAR,SIWAN,ssp585,2030,26.08,Moderate Risk,19.44,Low,54.71,High,0.41,Low,1.0098,,1.39
ssp585,2030,15,TELANGANA,JOGULAMBA GADWAL,ssp585,2030,25.67,Moderate Risk,0.1,Low,28.15,Moderate,52.62,High,1.0009,,-0.28
ssp585,2030,16,MAHARASHTRA,SANGLI,ssp585,2030,25.1,Moderate Risk,17.04,Low,22.35,Low,37.7,Moderate,1.0362,0.5843440453211592,5.01
ssp585,2030,17,BIHAR,ARARIA,ssp585,2030,25.04,Moderate Risk,46.84,Moderate,24.71,Low,0.0,Low,1.0457,0.8181666923894,7.27
ssp585,2030,18,BIHAR,SARAN,ssp585,2030,24.7,Low Risk,16.45,Low,54.13,High,0.0,Low,1.0231,,2.63
