district,scenario,overall_risk_2030,overall_risk_2035,overall_risk_2040,flood_risk_2030,flood_risk_2035,flood_risk_2040,drought_risk_2030,drought_risk_2035,drought_risk_2040,agstress_2030,agstress_2035,agstress_2040,temperature_change_2030,temperature_change_2035,temperature_change_2040,rainfall_change_2030,rainfall_change_2035,rainfall_change_2040
KISHANGANJ,ssp585,55.65,68.31,83.9,60.49,61.68,62.47,68.19,80.53,91.54,35.36,61.8,100.0,,,,5.25,6.55,7.84
LAKHISARAI,ssp245,8.61,8.75,8.89,23.19,23.65,24.11,1.4,1.34,1.28,0.0,0.0,0.0,,,,5.59,6.895,8.2
LAKHISARAI,ssp585,8.61,11.82,33.96,23.19,23.65,24.11,1.4,4.45,26.59,0.0,6.63,54.04,,,,5.59,6.89,8.2
MADHEPURA,ssp245,18.13,16.8,30.15,25.12,25.36,25.6,26.69,22.65,33.42,0.0,0.0,31.63,,,,5.11,6.4,7.69
MADHEPURA,ssp585,31.58,42.97,54.97,25.12,25.36,25.6,41.06,50.13,59.56,28.05,55.15,83.88,,,,5.11,6.4,7.69
MADHUBANI,ssp245,12.94,13.31,28.69,32.73,33.68,34.63,4.23,4.35,19.62,0.0,0.0,32.33,0.3954428944322856,0.6454428944322856,0.8954428944322856,6.52,7.835,9.15
MADHUBANI,ssp585,33.1,41.57,54.66,32.73,33.68,34.63,24.59,32.88,44.48,43.46,60.9,89.91,0.6954428944322857,1.1454428944322856,1.5954428944322856,6.52,7.84,9.15
MUNGER,ssp245,11.58,11.77,11.95,31.38,31.94,32.49,1.72,1.68,1.65,0.0,0.0,0.0,,,,4.93,6.225,7.52
MUNGER,ssp585,11.58,32.46,47.22,31.38,31.94,32.49,1.72,22.57,37.26,0.0,44.6,76.03,,,,4.93,6.22,7.52
MUZAFFARPUR,ssp245,19.09,17.88,16.67,22.39,22.99,23.58,32.16,28.11,24.06,0.0,0.0,0.0,,,,4.65,5.94,7.23
MUZAFFARPUR,ssp585,19.6,18.58,44.02,22.39,22.99,23.58,33.61,30.11,53.02,0.0,0.0,57.37,,,,4.65,5.94,7.23
NALANDA,ssp245,7.4,5.97,6.07,14.35,14.67,14.99,6.8,2.38,2.36,0.0,0.0,0.0,,,,5.32,6.615,7.91
NALANDA,ssp585,7.48,30.39,40.46,14.35,14.67,14.99,7.02,27.04,37.08,0.0,52.63,74.12,,,,5.32,6.62,7.91
NAWADA,ssp245,6.72,6.79,6.86,17.7,17.94,18.18,1.49,1.45,1.41,0.0,0.0,0.0,,,,3.79,5.07,6.35
NAWADA,ssp585,6.72,28.37,44.69,17.7,17.94,18.18,1.49,23.24,39.61,0.0,46.52,81.55,,,,3.79,5.07,6.35
PASHCHIM CHAMPARAN,ssp245,14.41,14.7,15.08,37.72,38.83,39.95,3.44,3.16,3.14,0.0,0.0,0.0,0.3746807422902982,0.6246807422902982,0.8746807422902982,3.29,4.5600000000000005,5.83
PASHCHIM CHAMPARAN,ssp585,14.41,30.96,45.21,37.72,38.83,39.95,3.46,19.58,33.56,0.0,35.06,64.95,0.6746807422902983,1.1246807422902982,1.5746807422902982,3.29,4.56,5.83
PATNA,ssp245,11.58,10.1,8.62,14.15,14.32,14.49,18.94,14.54,10.15,0.0,0.0,0.0,0.3301225251621815,0.5801225251621815,0.8301225251621815,4.77,6.06,7.35
PATNA,ssp585,14.97,19.86,39.68,14.15,14.32,14.49,22.83,24.92,41.86,6.77,20.43,66.52,0.6301225251621816,1.0801225251621815,1.5301225251621815,4.77,6.06,7.35
PURBA CHAMPARAN,ssp245,23.46,22.17,20.88,25.09,25.81,26.52,41.93,37.53,33.13,0.0,0.0,0.0,0.332389730215084,0.582389730215084,0.832389730215084,3.07,4.335,5.6
PURBA CHAMPARAN,ssp585,24.13,48.6,57.15,25.09,25.81,26.52,43.86,65.98,71.67,0.0,54.9,75.93,0.632389730215084,1.082389730215084,1.532389730215084,3.07,4.34,5.6
PURNIA,ssp245,15.32,14.15,13.51,35.79,37.01,38.23,7.98,3.42,0.38,0.0,0.0,0.0,0.5568997244040297,0.8068997244040297,1.0568997244040297,4.5,5.785,7.07
PURNIA,ssp585,15.45,30.31,50.23,35.79,37.01,38.23,8.35,19.89,37.45,0.0,34.66,79.15,0.8568997244040297,1.3068997244040297,1.7568997244040296,4.5,5.78,7.07
ROHTAS,ssp245,10.24,10.3,10.35,26.84,27.1,27.36,2.43,2.32,2.22,0.0,0.0,0.0,,,,-0.13,1.1,2.33
ROHTAS,ssp585,10.24,30.98,41.94,26.84,27.1,27.36,2.43,23.21,34.11,0.0,44.58,68.07,,,,-0.13,1.1,2.33
SAHARSA,ssp245,17.84,24.88,34.16,27.91,28.26,28.62,23.06,27.51,34.21,0.0,17.88,40.57,,,,5.74,7.04,8.34
SAHARSA,ssp585,39.88,49.97,59.81,27.91,28.26,28.62,45.99,53.72,56.54,46.7,70.91,100.0,,,,5.74,7.04,8.34
SAMASTIPUR,ssp245,10.16,8.65,8.43,21.6,21.86,22.11,7.42,2.86,1.98,0.0,0.0,0.0,,,,5.93,7.234999999999999,8.54
SAMASTIPUR,ssp585,10.25,8.68,31.53,21.6,21.86,22.11,7.69,2.93,25.3,0.0,0.0,49.8,,,,5.93,7.23,8.54
SARAN,ssp245,24.7,23.39,22.05,16.45,16.87,17.29,54.13,49.96,45.7,0.0,0.0,0.0,,,,2.63,3.895,5.16
SARAN,ssp585,24.7,28.48,53.08,16.45,16.87,17.29,54.13,57.47,79.72,0.0,8.2,63.76,,,,2.63,3.89,5.16
SHEIKHPURA,ssp245,6.96,7.09,7.22,17.79,18.19,18.58,2.1,2.07,2.04,0.0,0.0,0.0,,,,5.79,7.095000000000001,8.4
SHEIKHPURA,ssp585,6.96,33.42,46.85,17.79,18.19,18.58,2.1,28.65,42.04,0.0,56.75,85.46,,,,5.79,7.1,8.4
SHEOHAR,ssp245,10.87,9.88,10.08,23.3,23.77,24.23,7.77,4.47,4.56,0.0,0.0,0.0,,,,4.09,5.37,6.65
SHEOHAR,ssp585,10.93,28.62,37.14,23.3,23.77,24.23,7.94,23.38,31.88,0.0,40.39,58.34,,,,4.09,5.37,6.65
SITAMARHI,ssp245,10.32,10.46,10.6,25.62,25.95,26.28,3.87,3.94,4.01,0.0,0.0,0.0,0.4373498506016275,0.6873498506016276,0.9373498506016276,5.17,6.465,7.76
SITAMARHI,ssp585,10.32,35.05,48.96,25.62,25.95,26.28,3.87,28.76,42.74,0.0,53.0,82.69,0.7373498506016276,1.1873498506016276,1.6373498506016275,5.17,6.47,7.76
SIWAN,ssp245,25.89,26.08,25.21,19.44,20.07,20.69,54.52,54.43,51.33,0.0,0.0,0.0,,,,1.39,2.64,3.89
SIWAN,ssp585,26.08,45.64,55.05,19.44,20.07,20.69,54.71,74.18,83.4,0.41,42.18,62.05,,,,1.39,2.64,3.89
SUPAUL,ssp245,21.21,20.05,18.9,40.57,41.9,43.23,20.03,15.39,10.76,0.0,0.0,0.0,0.3954428944322856,0.6454428944322856,0.8954428944322856,7.03,8.35,9.67
SUPAUL,ssp585,21.48,38.55,51.87,40.57,41.9,43.23,20.8,34.62,44.44,0.0,39.21,70.63,0.6954428944322857,1.1454428944322856,1.5954428944322856,7.03,8.35,9.67
VAISHALI,ssp245,19.26,17.97,16.69,12.7,13.0,13.31,42.32,38.35,34.38,0.0,0.0,0.0,0.3301225251621815,0.5801225251621815,0.8301225251621815,5.64,6.94,8.24
VAISHALI,ssp585,19.95,18.97,22.14,12.7,13.0,13.31,44.3,41.19,41.92,0.0,0.0,9.37,0.6301225251621816,1.0801225251621815,1.5301225251621815,5.64,6.94,8.24
AHILYANAGAR,ssp245,10.34,10.43,11.1,22.24,22.47,22.71,7.3,7.32,7.92,0.0,0.0,1.27,0.2473962287108193,0.4973962287108193,0.7473962287108193,4.32,5.605,6.89
AHILYANAGAR,ssp585,12.06,19.99,39.04,22.24,22.47,22.71,9.04,16.97,36.13,3.7,20.62,61.49,0.5473962287108194,0.9973962287108192,1.4473962287108193,4.32,5.61,6.89
AKOLA,ssp245,15.16,15.25,15.35,37.6,37.99,38.38,5.7,5.58,5.47,0.0,0.0,0.0,0.2567127658261263,0.5067127658261263,0.7567127658261263,5.76,7.06,8.36
AKOLA,ssp585,15.16,22.24,42.13,37.6,37.99,38.38,5.7,12.64,32.51,0.0,15.08,57.74,0.5567127658261264,1.0067127658261263,1.4567127658261263,5.76,7.06,8.36
AMRAVATI,ssp245,15.99,16.13,16.28,41.8,42.17,42.54,3.88,3.93,3.98,0.0,0.0,0.0,0.2620101286305321,0.5120101286305321,0.7620101286305321,6.51,7.82,9.13
AMRAVATI,ssp585,15.99,22.26,44.32,41.8,42.17,42.54,3.88,10.12,32.29,0.0,13.21,60.44,0.5620101286305321,1.012010128630532,1.462010128630532,6.51,7.82,9.13
BEED,ssp245,3.56,3.5,13.28,6.75,6.69,6.64,3.42,3.3,13.12,0.0,0.0,21.22,,,,3.66,4.9350000000000005,6.21
