state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
BIHAR,ARARIA,ssp245,2030,16.94,Low Risk,,46.84,Moderate,1.55,Low,0.0,Low,1.0457,7.27,0.5181666923893999,0.0,52.28,7.9,63.13064481574015,31.931729026373088,7.27
BIHAR,ARWAL,ssp245,2030,22.76,Low Risk,,24.37,Low,40.67,Moderate,0.0,Low,1.0104,1.87,,0.0,50.52,33.3,67.51468502289623,23.898589074799148,1.87
BIHAR,AURANGABAD,ssp245,2030,28.47,Moderate Risk,,29.28,Moderate,52.05,High,0.0,Low,0.9936,0.32,0.3069482326507682,0.0,49.68,48.1,65.02455720124132,30.01157588512413,0.32
BIHAR,BANKA,ssp245,2030,9.72,Low Risk,,24.42,Low,3.36,Low,0.0,Low,1.0096,3.0,,0.0,50.48,33.3,69.91908839453859,14.100075138061964,3.0
BIHAR,BEGUSARAI,ssp245,2030,7.75,Low Risk,,19.91,Low,2.22,Low,0.0,Low,1.0435,5.86,0.46674465272162635,0.0,52.18,65.8,65.66135643721995,18.655202246510818,5.86
BIHAR,BHAGALPUR,ssp245,2030,10.1,Low Risk,,27.23,Moderate,1.63,Low,0.0,Low,1.028,4.1,0.5568997244040297,0.0,51.4,68.5,63.456275070293415,20.843210692047357,4.1
BIHAR,BHOJPUR,ssp245,2030,12.36,Low Risk,,13.86,Low,21.46,Low,0.0,Low,1.011,1.57,0.2960068563620375,0.0,50.55,50.2,75.56932034360834,17.61418585727221,1.57
BIHAR,BUXAR,ssp245,2030,6.44,Low Risk,,14.76,Low,3.65,Low,0.0,Low,0.999,0.35,,0.0,49.95,33.3,70.97649170297416,22.092499479389375,0.35
BIHAR,DARBHANGA,ssp245,2030,10.77,Low Risk,,26.29,Moderate,4.49,Low,0.0,Low,1.0337,6.08,,0.0,51.68,33.3,74.13148214192881,18.66522801327391,6.08
BIHAR,GAYA,ssp245,2030,25.12,Moderate Risk,,20.27,Low,51.49,High,0.0,Low,1.0089,1.89,0.3069482326507682,0.0,50.44,48.1,62.91035508296582,20.90461994669357,1.89
BIHAR,GOPALGANJ,ssp245,2030,9.12,Low Risk,,21.77,Low,4.3,Low,0.0,Low,1.011,1.6,0.332389730215084,0.0,50.55,48.1,73.42903522299414,14.256967313341462,1.6
BIHAR,JAMUI,ssp245,2030,8.36,Low Risk,,22.72,Low,1.16,Low,0.0,Low,1.0147,3.45,0.4589224470986224,0.0,50.74,70.4,61.68766010610575,13.721234513830499,3.45
BIHAR,JEHANABAD,ssp245,2030,23.43,Low Risk,,18.96,Low,47.97,Moderate,0.0,Low,1.022,3.15,,0.0,51.1,33.3,64.7272207152252,15.512160329429676,3.15
BIHAR,KAIMUR (BHABUA),ssp245,2030,9.93,Low Risk,,25.77,Moderate,2.59,Low,0.0,Low,0.9886,-0.59,,0.0,49.43,33.3,67.0465242406409,28.522240643985228,-0.59
BIHAR,KATIHAR,ssp245,2030,10.19,Low Risk,,27.88,Moderate,1.24,Low,0.0,Low,1.0152,3.04,0.5568997244040297,0.0,50.76,68.5,61.99068908968155,20.512010663102224,3.04
BIHAR,KHAGARIA,ssp245,2030,10.55,Low Risk,,28.01,Moderate,2.13,Low,0.0,Low,1.0345,5.53,0.46674465272162635,0.0,51.72,65.8,65.31345514635883,19.05285032310052,5.53
BIHAR,KISHANGANJ,ssp245,2030,21.74,Low Risk,,60.49,High,1.63,Low,0.0,Low,1.0251,5.25,,0.0,51.26,33.3,63.44299684844337,32.022490589169365,5.25
BIHAR,LAKHISARAI,ssp245,2030,8.61,Low Risk,,23.19,Low,1.4,Low,0.0,Low,1.0401,5.59,,0.0,52.0,33.3,62.56951512805465,17.593536133254553,5.59
BIHAR,MADHEPURA,ssp245,2030,9.51,Low Risk,,25.12,Moderate,2.05,Low,0.0,Low,1.0258,5.11,,0.0,51.29,33.3,64.99340542558531,16.83732084603177,5.11
BIHAR,MADHUBANI,ssp245,2030,12.94,Low Risk,,32.73,Moderate,4.23,Low,0.0,Low,1.0357,6.52,0.39544289443228564,0.0,51.78,53.6,73.1670761614296,21.759309994799736,6.52
BIHAR,MUNGER,ssp245,2030,11.58,Low Risk,,31.38,Moderate,1.72,Low,0.0,Low,1.0331,4.93,,0.0,51.65,33.3,63.76641540188903,20.391183321566533,4.93
BIHAR,MUZAFFARPUR,ssp245,2030,8.92,Low Risk,,22.39,Low,3.1,Low,0.0,Low,1.0383,4.65,,0.0,51.92,33.3,68.94579044644352,16.158084987768788,4.65
BIHAR,NALANDA,ssp245,2030,13.01,Low Risk,,14.35,Low,22.81,Low,0.0,Low,1.0377,5.32,,0.0,51.89,33.3,66.33050449381912,18.006626864144035,5.32
BIHAR,NAWADA,ssp245,2030,16.29,Low Risk,,17.7,Low,28.84,Moderate,0.0,Low,1.0247,3.79,,0.0,51.24,33.3,62.922447283695455,15.086031089166097,3.79
BIHAR,PASHCHIM CHAMPARAN,ssp245,2030,14.31,Low Risk,,37.72,Moderate,3.18,Low,0.0,Low,1.021,3.29,0.37468074229029824,0.0,51.05,47.4,69.21964989965616,19.820951951940803,3.29
BIHAR,PATNA,ssp245,2030,6.49,Low Risk,,14.15,Low,4.4,Low,0.0,Low,1.0338,4.77,0.33012252516218155,0.0,51.69,55.9,73.79706894651127,19.287980984617437,4.77
BIHAR,PURBA CHAMPARAN,ssp245,2030,10.01,Low Risk,,25.09,Moderate,3.5,Low,0.0,Low,1.0183,3.07,0.332389730215084,0.0,50.92,48.1,70.42063927676732,16.840804048937436,3.07
BIHAR,PURNIA,ssp245,2030,12.7,Low Risk,,35.79,Moderate,0.51,Low,0.0,Low,1.0256,4.5,0.5568997244040297,0.0,51.28,68.5,59.26249901397648,27.241336315991475,4.5
BIHAR,ROHTAS,ssp245,2030,26.61,Moderate Risk,,26.84,Moderate,49.2,Moderate,0.0,Low,0.993,-0.13,,0.0,49.65,33.3,66.41461690091506,32.1474329977239,-0.13
BIHAR,SAHARSA,ssp245,2030,10.46,Low Risk,,27.91,Moderate,1.99,Low,0.0,Low,1.0279,5.74,,0.0,51.4,33.3,64.80148621834631,17.557715694667188,5.74
BIHAR,SAMASTIPUR,ssp245,2030,8.28,Low Risk,,21.6,Low,2.07,Low,0.0,Low,1.0449,5.93,,0.0,52.24,33.3,65.08135901031824,18.253569967648225,5.93
BIHAR,SARAN,ssp245,2030,7.2,Low Risk,,16.45,Low,4.13,Low,0.0,Low,1.0231,2.63,,0.0,51.15,33.3,72.7916904936433,14.491004962244268,2.63
BIHAR,SHEIKHPURA,ssp245,2030,6.96,Low Risk,,17.79,Low,2.1,Low,0.0,Low,1.0395,5.79,,0.0,51.98,33.3,65.18016460061911,19.263588090023532,5.79
BIHAR,SHEOHAR,ssp245,2030,9.69,Low Risk,,23.3,Low,4.38,Low,0.0,Low,1.0274,4.09,,0.0,51.37,33.3,73.70599281652741,13.023960424200373,4.09
BIHAR,SITAMARHI,ssp245,2030,10.32,Low Risk,,25.62,Moderate,3.87,Low,0.0,Low,1.0302,5.17,0.43734985060162757,0.0,51.51,58.7,71.80459593566475,17.16873053547424,5.17
BIHAR,SIWAN,ssp245,2030,8.39,Low Risk,,19.44,Low,4.52,Low,0.0,Low,1.0098,1.39,,0.0,50.49,33.3,74.24362367348724,14.486358203146985,1.39
BIHAR,SUPAUL,ssp245,2030,15.79,Low Risk,,40.57,Moderate,4.54,Low,0.0,Low,1.0432,7.03,0.39544289443228564,0.0,52.16,53.6,74.30850477168295,26.170039760043085,7.03
BIHAR,VAISHALI,ssp245,2030,5.42,Low Risk,,12.7,Low,2.8,Low,0.0,Low,1.0579,5.64,0.33012252516218155,0.0,52.9,55.9,67.82068607822984,12.952761819918535,5.64
MAHARASHTRA,AHILYANAGAR,ssp245,2030,10.34,Low Risk,,22.24,Low,7.3,Low,0.0,Low,1.0362,4.32,0.24739622871081934,0.0,51.81,69.4,84.65534449224263,18.017533281069042,4.32
MAHARASHTRA,AKOLA,ssp245,2030,15.16,Low Risk,,37.6,Moderate,5.7,Low,0.0,Low,1.0509,5.76,0.25671276582612634,0.0,52.54,101.6,78.64075752392327,17.35602098145568,5.76
MAHARASHTRA,AMRAVATI,ssp245,2030,15.99,Low Risk,,41.8,Moderate,3.88,Low,0.0,Low,1.0539,6.51,0.2620101286305321,0.0,52.7,73.9,71.84204663437593,21.216866004981817,6.51
MAHARASHTRA,BEED,ssp245,2030,16.67,Low Risk,,6.75,Low,40.88,Moderate,0.0,Low,1.0327,3.66,,0.0,51.64,33.3,70.12146436801007,16.24783155948713,3.66
MAHARASHTRA,BHANDARA,ssp245,2030,15.36,Low Risk,,42.96,Moderate,0.94,Low,0.0,Low,1.0442,5.45,0.2647395908832557,0.0,52.21,56.1,60.84599198546944,15.65232186795473,5.45
MAHARASHTRA,BULDHANA,ssp245,2030,12.7,Low Risk,,29.79,Moderate,6.5,Low,0.0,Low,1.0362,3.97,0.28708645171590774,0.0,51.81,103.5,81.66071375519918,17.423234503008654,3.97
MAHARASHTRA,CHANDRAPUR,ssp245,2030,13.74,Low Risk,,37.23,Moderate,2.03,Low,0.0,Low,1.0443,5.93,0.22485154006216135,0.0,52.22,113.7,64.91920457214331,17.463739349845085,5.93
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp245,2030,9.47,Low Risk,,18.34,Low,8.72,Low,0.0,Low,1.0294,3.05,0.2599188599321671,0.0,51.47,86.8,89.93744870231637,16.45820723224487,3.05
MAHARASHTRA,DHARASHIV,ssp245,2030,20.14,Low Risk,,4.41,Low,53.12,High,0.0,Low,1.0479,5.74,0.18486861189208526,0.0,52.4,88.6,68.99246102648749,15.383365720408605,5.74
MAHARASHTRA,DHULE,ssp245,2030,10.94,Low Risk,,24.81,Low,6.44,Low,0.0,Low,1.0536,6.87,0.20527738134067164,0.0,52.68,94.9,81.40613391197667,16.883148537693643,6.87
MAHARASHTRA,GADCHIROLI,ssp245,2030,14.31,Low Risk,,39.74,Moderate,1.14,Low,0.0,Low,1.0184,2.93,0.3022818942864838,0.0,50.92,101.0,61.6253136607447,20.301438391481135,2.93
MAHARASHTRA,GONDIA,ssp245,2030,14.47,Low Risk,,40.76,Moderate,0.58,Low,0.0,Low,1.0343,4.55,0.2917816784647016,0.0,51.72,72.7,59.50060419252874,14.93807744064867,4.55
MAHARASHTRA,HINGOLI,ssp245,2030,26.83,Moderate Risk,,22.64,Low,54.02,High,0.0,Low,1.0455,4.5,,0.0,52.28,33.3,81.11751344322899,17.84654522712995,4.5
MAHARASHTRA,JALGAON,ssp245,2030,11.92,Low Risk,,28.32,Moderate,5.75,Low,0.0,Low,1.0399,4.67,0.3006426241662723,0.0,52.0,89.8,78.83894226675517,17.75753508149156,4.67
MAHARASHTRA,JALNA,ssp245,2030,10.1,Low Risk,,22.57,Low,6.29,Low,0.0,Low,1.0264,2.46,0.2804320534070328,0.0,51.32,101.7,80.8684732839947,18.907049562605025,2.46
MAHARASHTRA,KOLHAPUR,ssp245,2030,23.89,Low Risk,,63.32,High,4.93,Low,0.0,Low,1.0347,5.28,0.2825651446978341,0.0,51.74,79.4,75.77344913979084,33.37801405814233,5.28
MAHARASHTRA,LATUR,ssp245,2030,22.3,Low Risk,,11.3,Low,52.41,High,0.0,Low,1.0604,7.24,0.1791942232185022,0.0,53.02,103.1,66.34888966691219,15.868190568103822,7.24
MAHARASHTRA,MUMBAI,ssp245,2030,37.38,Moderate Risk,,96.8,Very High,10.0,Low,0.0,Low,1.0317,4.29,,0.0,51.58,33.3,134.9732203084416,29.5760237219733,4.29
MAHARASHTRA,MUMBAI SUBURBAN,ssp245,2030,38.1,Moderate Risk,,98.86,Very High,10.0,Low,0.0,Low,1.0363,4.87,,0.0,51.82,33.3,119.0876050858903,31.687653189657233,4.87
