state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
BIHAR,SAHARSA,ssp585,2030,28.2,Moderate Risk,,27.91,Moderate,18.12,Low,40.31,Moderate,1.0279,5.74,,0.004296025751371021,48.95,33.3,64.80148621834631,17.557715694667188,5.74
BIHAR,SAMASTIPUR,ssp585,2030,8.28,Low Risk,,21.6,Low,2.07,Low,0.0,Low,1.0449,5.93,,0.0,52.24,33.3,65.08135901031824,18.253569967648225,5.93
BIHAR,SARAN,ssp585,2030,7.2,Low Risk,,16.45,Low,4.13,Low,0.0,Low,1.0231,2.63,,0.0,51.15,33.3,72.7916904936433,14.491004962244268,2.63
BIHAR,SHEIKHPURA,ssp585,2030,6.96,Low Risk,,17.79,Low,2.1,Low,0.0,Low,1.0395,5.79,,0.0,51.98,33.3,65.18016460061911,19.263588090023532,5.79
BIHAR,SHEOHAR,ssp585,2030,9.69,Low Risk,,23.3,Low,4.38,Low,0.0,Low,1.0274,4.09,,0.0,51.37,33.3,73.70599281652741,13.023960424200373,4.09
BIHAR,SITAMARHI,ssp585,2030,10.32,Low Risk,,25.62,Moderate,3.87,Low,0.0,Low,1.0302,5.17,0.7373498506016276,0.0,51.51,58.7,71.80459593566475,17.16873053547424,5.17
BIHAR,SIWAN,ssp585,2030,8.39,Low Risk,,19.44,Low,4.52,Low,0.0,Low,1.0098,1.39,,0.0,50.49,33.3,74.24362367348724,14.486358203146985,1.39
BIHAR,SUPAUL,ssp585,2030,15.79,Low Risk,,40.57,Moderate,4.54,Low,0.0,Low,1.0432,7.03,0.6954428944322857,0.0,52.16,53.6,74.30850477168295,26.170039760043085,7.03
BIHAR,VAISHALI,ssp585,2030,5.42,Low Risk,,12.7,Low,2.8,Low,0.0,Low,1.0579,5.64,0.6301225251621816,0.0,52.9,55.9,67.82068607822984,12.952761819918535,5.64
MAHARASHTRA,AHILYANAGAR,ssp585,2030,10.34,Low Risk,,22.24,Low,7.3,Low,0.0,Low,1.0362,4.32,0.5473962287108194,0.0,51.81,69.4,84.65534449224263,18.017533281069042,4.32
