state,district,annual_rainfall,mean_temperature,mean_humidity,mean_soil_moisture,rainfall_anomaly,spi3,spi6,rx1day,rain_p95,rain_p99,cdd,cwd,rx3day,base_mean_pet_x,base_mean_et_x,base_mean_solar_x,base_mean_lai_x,temperature_anomaly,humidity_anomaly,soil_moisture_anomaly,heat_stress_days_35,heat_stress_days_38,heat_stress_days_40,water_availability_index,soil_moisture_deficit,annual_rainfall_change_pct,mean_solar,mean_pet,mean_et,mean_lai,base_mean_pet_y,base_mean_et_y,base_mean_solar_y,base_mean_lai_y,pet_anomaly,et_anomaly,solar_anomaly,lai_anomaly,predicted_sm_anomaly,predicted_ndvi_anomaly,predicted_ndwi_anomaly,water_security_index,year,state_code,district_code,soil_moisture_stress_class,scenario
BIHAR,ARARIA,1815.5466935772595,23.691728056801708,57.028850178435086,0.20274964086878253,143.66079357725928,-0.22426011812293087,-0.20183410631063778,72.11683625575293,24.2076726271003,49.84655425011039,63.177089115804904,32.39622305392205,118.99277982199231,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,1.2681666923894,2.2953374571918133,-0.015065251332107975,9.8,0.65,0.05,1.05045,0.0059845024,8.59,17.4677,4.0023,15.689544956095277,1.1624946613616636,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,-43.056251046393974,1.7709716331185206,0.8597788822853119,0.026243924849670863,-0.0059845024,0.0002381061059889824,-0.0021933292,49.57,2035,0,4,Low,ssp585
BIHAR,ARWAL,1049.7635699688947,,,0.15659200893276487,31.84061996889467,0.1007415010951152,0.09066735098560368,62.61802484411775,17.26520058881321,33.67049673345453,67.10596287687349,23.746963827668186,103.31974099279428,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,,,-0.012101681245775799,33.3,3.6,0.5,1.0146,0.0063362583,3.13,17.6143,4.1631,12.327369786465765,1.0198909259535271,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,-45.52343234068274,1.6612204748969734,-1.0337792169629623,0.15795452794103748,-0.0063362583,0.0033050261800809874,-0.02028065,46.68,2035,0,5,Low,ssp585
BIHAR,AURANGABAD,1158.279188859574,26.39619611501695,50.377277638114144,0.1595063590992028,17.695238859573877,0.4834598387026176,0.4351138548323558,58.72386914245175,17.977537316301785,36.14032160185959,64.63187140363249,30.056832346903114,96.89438408504537,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,1.0569482326507682,1.3139197059627463,-0.015627842594941356,55.2,7.75,1.3,0.9978,0.0064458526,1.55,17.6642,4.3111,12.745095977392225,1.0179362485368353,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,-46.96292764493268,2.6308375317967005,-1.0437084620153385,0.22383697122271728,-0.0064458526,0.002610450860885174,-0.020933282,45.85,2035,0,6,Low,ssp585
BIHAR,BANKA,1353.6306722092938,,,0.17467516272404185,55.44097220929363,0.3630485140445922,0.326743662640133,71.17485267887957,20.626136818312307,41.917219164898995,70.5715150899434,14.300809567186002,117.43850692015128,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,,,-0.01817412622580441,33.3,3.6,0.5,1.0140500000000001,0.0077653243,4.27,17.6604,4.174,12.279940119155127,1.1093925803095048,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,-43.333531801877065,1.7566503108163083,0.019432772860106695,0.38263252177465445,-0.0077653243,0.0019384030007845454,-0.021611655,46.26,2035,0,7,Low,ssp585
BIHAR,BEGUSARAI,1185.9411961399098,27.00645162794326,54.72557977322518,0.16147428921683207,79.26654613990972,-0.07343489159005824,-0.06609140243105241,61.14092293882075,17.626671398933965,36.74448592407788,65.53037577661496,18.80099305864941,100.88252284905423,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,1.2167446527216264,2.1803127989463675,-0.009230787262099242,74.4,12.399999999999999,2.35,1.048,0.0,7.16,17.5701,4.3474,14.396691282572103,1.1414879451413291,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,-41.77515224623095,4.452791019908423,-0.2894619457179921,0.3585816290411479,0.00050872425,0.0040046233979236,-0.013781775,52.4,2035,0,9,Low,ssp585
BIHAR,BHAGALPUR,1406.9264069376293,27.09083750645321,56.197956249133064,0.17595303787414995,71.8304069376291,-0.21693283574757435,-0.19523955217281694,66.41946546631411,20.07400147182053,39.15261706368773,63.24708333039595,20.950574480402462,109.59211801941828,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,1.3068997244040297,2.150405911334758,-0.011251613231232242,77.3,13.2,2.5,1.0324499999999999,0.005394625,5.38,17.6003,4.3631,15.211220355614568,1.2373137002887304,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,-40.39920788463144,4.693847951868941,0.3616252195770322,0.5104483000581003,-0.005394625,0.0035370080294092835,-0.014269917,48.56,2035,0,11,Low,ssp585
BIHAR,BHOJPUR,980.9950609937772,26.47476558685304,50.56393750517194,0.14969049558488928,26.9365609937771,-0.17173033869635854,-0.1545573048267227,56.52241792262124,14.78910188373758,36.15074507243777,75.22671739579269,17.506146564115344,93.26198957232504,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,1.0460068563620375,1.27434899237646,-0.010439960178155898,57.5,8.3,1.4,1.0152,0.006121216,2.82,17.5785,4.2978,10.652454738564186,0.9397793461969837,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,-45.57673019654776,0.5394117564877785,-0.9852692785998443,0.11187743629897318,-0.006121216,0.0033258897663364082,-0.015960082,46.67,2035,0,13,Low,ssp585
BIHAR,BUXAR,964.5347085241851,,,0.15522292058724446,15.040558524185032,-0.293892956998988,-0.2645036612990892,52.51822228085453,14.742043081831437,33.18530461306402,70.89306773322296,21.97716477669526,86.65506676340996,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,,,-0.012428149482656477,33.3,3.6,0.5,1.00315,0.008199909,1.58,17.5711,4.1529,11.27463478204569,0.9943618694541955,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,-46.35310396534892,0.7635206171767308,-1.0185693890906222,0.09391612919994252,-0.008199909,0.004269116045386874,-0.015289433,44.87,2035,0,15,Low,ssp585
BIHAR,DARBHANGA,1245.0088069883998,,,0.1639344312254552,85.6369069883997,0.2518546961147774,0.22666922650329963,71.85290059765845,17.56496365854243,39.19209781281678,74.56260730972923,18.781304746779902,118.55728598613643,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,,,-0.015981815256967076,33.3,3.6,0.5,1.0384,0.0069342754,7.39,17.4927,4.1344,13.312794975451999,1.1054745193189508,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,-44.66865528437219,2.8157710761890513,-0.11354590790705288,0.23564185545620775,-0.0069342754,0.003173470016860345,-0.02199198,47.69,2035,0,18,Low,ssp585
BIHAR,GAYA,1180.7323157502078,26.39619611501695,50.377277638114144,0.15615789468507468,35.94581575020792,0.392666393612045,0.35339975425084047,57.96871805919456,18.59806978571946,35.775591092764145,62.51790445358952,20.674744956884624,95.64838479767101,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,1.0569482326507682,1.3139197059627463,-0.01295265107095147,55.2,7.75,1.3,1.0131999999999999,0.008166534,3.14,17.6821,4.3155,12.34254186088769,1.0418031649529507,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,-46.41609649932754,2.210005376979531,-0.9716132235510564,0.23607590947549817,-0.008166534,0.0032692136944599483,-0.020268077,45.43,2035,0,22,Low,ssp585
