state,district,annual_rainfall,mean_temperature,mean_humidity,mean_soil_moisture,year,rainfall_anomaly,spi3,spi6,rx1day,rain_p95,rain_p99,cdd,cwd,rx3day,base_mean_pet_x,base_mean_et_x,base_mean_solar_x,base_mean_lai_x,temperature_anomaly,humidity_anomaly,soil_moisture_anomaly,heat_stress_days_35,heat_stress_days_38,heat_stress_days_40,water_availability_index,soil_moisture_deficit,annual_rainfall_change_pct,state_code,district_code,mean_solar,mean_pet,mean_et,mean_lai,base_mean_pet_y,base_mean_et_y,base_mean_solar_y,base_mean_lai_y,pet_anomaly,et_anomaly,solar_anomaly,lai_anomaly,predicted_sm_anomaly,predicted_ndvi_anomaly,predicted_ndwi_anomaly,soil_moisture_stress_class,water_security_index,scenario
BIHAR,ARARIA,1871.6638888459809,24.141728056801707,57.278850178435086,0.1954805151055646,2040,168.81713884598065,-0.16405570454815036,-0.14765013409333533,72.53357183087674,24.43351023493064,50.477718937859,63.22353341586967,32.86071708147101,119.68039352094661,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,1.7181666923894,2.5453374571918133,-0.022334377095325892,11.7,0.8,0.1,1.0552,0.01163729,9.91,0,4,17.4677,4.0457,15.764727398041199,1.1444757744611984,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,-43.012851046393976,1.846154075064442,0.8597788822853119,0.008225037949205705,-0.01163729,5.2125892652967216e-05,0.001368564,Moderate,46.81,ssp585
BIHAR,ARWAL,1082.2109795840458,,,0.15003887539192573,2040,45.43760458404575,0.1448490457595144,0.13036414118356296,62.83281668885914,17.516461532331515,33.92438324794101,66.69724073085075,23.595338580537224,103.67414753661758,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,,,-0.01865481478661495,33.3,3.6,0.5,1.0188,0.010323635,4.38,0,5,17.6143,4.1631,12.381735509462573,1.0249070194669148,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,-45.52343234068274,1.7155861978937814,-1.0337792169629623,0.1629706214544251,-0.010323635,0.003309522044363043,-0.02028065,Moderate,44.06,ssp585
BIHAR,AURANGABAD,1194.080735383755,26.846196115016948,50.627277638114144,0.15290801847201765,2040,32.374860383754736,0.5655422931455152,0.5089880638309636,59.08230585809687,18.215466198304647,36.263011160548274,64.23918560602364,30.102088808682097,97.48580466585983,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,1.5069482326507682,1.5639197059627463,-0.02222618322212651,62.3,9.3,1.6,1.002,0.010955458,2.79,0,6,17.6642,4.355,12.62894535902845,1.0559133728866703,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,-46.91902764493268,2.514686913432925,-1.0437084620153385,0.2618140955725523,-0.010955458,0.003056217401203095,-0.020534353,Moderate,42.94,ssp585
BIHAR,BANKA,1395.4703874988122,,,0.16784152524641968,2040,73.24013749881217,0.4350146822040706,0.3915132139836635,71.45327276053995,20.790953793553083,42.11168915198398,71.22394178534822,14.50154399631004,117.89790005489091,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,,,-0.025007763703426573,33.3,3.6,0.5,1.0185,0.013066394,5.54,0,7,17.6604,4.174,12.55208381569973,1.093021473085146,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,-43.333531801877065,2.0287940073609114,0.019432772860106695,0.3662614145502956,-0.013066394,0.0014294804192565797,-0.021930775,Moderate,43.14,ssp585
BIHAR,BEGUSARAI,1222.5977546941128,27.45645162794326,54.97557977322518,0.1548454222693114,2040,95.42912969411266,-0.013129984321330187,-0.01181698588919717,60.76386985590609,17.853126243618938,36.97532081503988,65.39939511600998,18.946783870788007,100.26038526224504,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,1.6667446527216263,2.4303127989463675,-0.015859654209619923,83.0,14.7,2.9,1.0525,0.007182,8.47,0,9,17.5701,4.391,14.758543267877652,1.1468028987424408,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,-41.731552246230954,4.814643005213972,-0.2894619457179921,0.36389658264225955,-0.007182,0.0034753388028401708,-0.013781775,Low,47.99,ssp585
BIHAR,BHAGALPUR,1450.4134536691429,27.540837506453208,56.447956249133064,0.1690995781346337,2040,90.59345366914279,-0.16831929931825151,-0.15148736938642637,66.49469477906949,20.213158510549412,39.42309502789729,63.03789159049849,21.057938268757567,109.71624638546466,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,1.7568997244040296,2.400405911334758,-0.0181050729707485,86.1,15.6,3.1,1.0369,0.008324312,6.66,0,11,17.6003,4.4068,15.323954263715464,1.2058974553653437,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,-40.35550788463144,4.806581859969837,0.3616252195770322,0.4790320551347135,-0.008324312,0.00246618226896799,-0.014269917,Low,46.92,ssp585
BIHAR,BHOJPUR,1011.3168872459955,26.924765586853038,50.81393750517194,0.14324441757685066,2040,39.590637245995396,-0.12666240089397446,-0.11399616080457703,56.56945563309811,14.967031645079949,36.59135623005535,74.88411444797704,17.398107270958477,93.33960179461188,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,1.4960068563620375,1.52434899237646,-0.016886038186194514,64.8,9.9,1.7,1.0194,0.008920142,4.07,0,13,17.5785,4.3415,11.94316172358736,0.9478959865375751,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,-45.533030196547756,1.8301187415109528,-0.9852692785998443,0.11999407663956463,-0.008920142,0.003587096780719461,-0.018018464,Low,44.74,ssp585
BIHAR,BUXAR,994.3477575485879,,,0.14869102419757674,2040,27.27038254858775,-0.25288685887152756,-0.2275981729843748,53.1653409902311,14.899668431552021,33.573670428490466,70.80964376347177,21.861830074001148,87.72281263388132,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,,,-0.018960045872324183,33.3,3.6,0.5,1.0073,0.010435338,2.82,0,15,17.5711,4.1529,11.69009388904909,0.9902842398721902,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,-46.35310396534892,1.178979724180131,-1.0185693890906222,0.08983849961793722,-0.010435338,0.004609853607757073,-0.01497192,Moderate,43.35,ssp585
BIHAR,DARBHANGA,1283.4911013740016,,,0.15726740281968285,2040,102.64935137400137,0.3167168169950285,0.28504513529552566,72.18193863288266,17.715291696799774,39.48473672838193,74.99373247752965,18.89738148028589,119.10019874425639,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,,,-0.02264884366273941,33.3,3.6,0.5,1.0431,0.011309435,8.69,0,18,17.4927,4.1344,12.738200509767287,1.1300904060506323,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,-44.66865528437219,2.24117661050434,-0.11354590790705288,0.2602577421878892,-0.011309435,0.002851109017648313,-0.02199198,Moderate,44.96,ssp585
BIHAR,GAYA,1217.227871693465,26.846196115016948,50.627277638114144,0.14961149507775706,2040,51.24162169346487,0.4739668808318043,0.4265701927486239,58.31985849215512,18.80958880116167,36.12997753335449,62.12545382421323,20.444869967075682,96.22776651205594,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,1.5069482326507682,1.5639197059627463,-0.019499050678269087,62.3,9.3,1.6,1.0175,0.0106874835,4.39,0,22,17.6821,4.3594,12.614476231651269,1.0608055469307718,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,-46.372196499327536,2.481939747743109,-0.9716132235510564,0.2550782914533193,-0.0106874835,0.003484363235154268,-0.019996906,Moderate,43.73,ssp585
