state,district,annual_rainfall,mean_temperature,mean_humidity,mean_soil_moisture,year,rainfall_anomaly,spi3,spi6,rx1day,rain_p95,rain_p99,cdd,cwd,rx3day,base_mean_pet_x,base_mean_et_x,base_mean_solar_x,base_mean_lai_x,temperature_anomaly,humidity_anomaly,soil_moisture_anomaly,heat_stress_days_35,heat_stress_days_38,heat_stress_days_40,water_availability_index,soil_moisture_deficit,annual_rainfall_change_pct,state_code,district_code,mean_solar,mean_pet,mean_et,mean_lai,base_mean_pet_y,base_mean_et_y,base_mean_solar_y,base_mean_lai_y,pet_anomaly,et_anomaly,solar_anomaly,lai_anomaly,predicted_sm_anomaly,predicted_ndvi_anomaly,predicted_ndwi_anomaly,soil_moisture_stress_class,water_security_index,scenario
BIHAR,ARARIA,1701.5126262236188,23.441728056801708,54.778850178435086,0.20748051510556462,2040,153.47012622361876,-0.1491415495892276,-0.13422739463030484,72.53357183087674,24.43351023493064,50.477718937859,63.22353341586967,32.86071708147101,119.68039352094661,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,1.0181666923894,0.04533745719181326,-0.010334377095325892,11.7,0.8,0.1,1.0552,0.0009278688,9.91,0,4,17.4677,3.9782,14.784815921248832,1.18717518984738,47.05855104639397,13.918573322976757,16.60792111771469,1.1362507365119927,0.0,0.0,0.0,0.0,-0.0009278688,-0.0002747365320176138,0.00018986178,Low,52.31,ssp245
BIHAR,ARWAL,983.8281632582234,,,0.16203887539192574,2040,41.3069132582234,0.13168095069046762,0.11851285562142086,62.83281668885914,17.516461532331515,33.92438324794101,66.69724073085075,23.595338580537224,103.67414753661758,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,,,-0.006654814786614949,33.3,3.6,0.5,1.0188,0.0,4.38,0,5,17.6143,4.1631,12.215778248849212,1.0079126224426007,49.68653234068274,10.666149311568791,18.648079216962962,0.8619363980124897,0.0,0.0,0.0,0.0,0.0032130692,0.003568650964094697,0.0047424184,Low,50.94,ssp245
BIHAR,AURANGABAD,1085.527941257959,26.14619611501695,48.127277638114144,0.16490801847201766,2040,29.431691257958846,0.5141293574050138,0.4627164216645124,59.08230585809687,18.215466198304647,36.263011160548274,64.23918560602364,30.102088808682097,97.48580466585983,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,0.8069482326507682,-0.9360802940372537,-0.010226183222126511,62.3,9.3,1.6,1.002,0.0,2.79,0,6,17.6642,4.2867,12.018568662812763,0.9242727467824805,51.27402764493268,10.114258445595524,18.70790846201534,0.794099277314118,0.0,0.0,0.0,0.0,0.0010254792,-0.0014648623580792905,0.004656648,Low,50.1,ssp245
BIHAR,BANKA,1268.6094431807383,,,0.1798415252464197,2040,66.58194318073834,0.3954678929127914,0.35592110362151225,71.45327276053995,20.790953793553083,42.11168915198398,71.22394178534822,14.50154399631004,117.89790005489091,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,,,-0.013007763703426573,33.3,3.6,0.5,1.0185,0.0048719146,5.54,0,7,17.6604,4.174,12.153011364177402,1.131504768657368,47.507531801877064,10.523289808338818,17.640967227139893,0.7267600585348504,0.0,0.0,0.0,0.0,-0.0048719146,0.0016770272912433367,0.0010568913,Low,48.22,ssp245
BIHAR,BEGUSARAI,1111.4525042673752,26.75645162794326,52.47557977322518,0.1668454222693114,2040,86.75375426737514,-0.011936349383027442,-0.010742714444724698,60.76386985590609,17.853126243618938,36.97532081503988,65.39939511600998,18.946783870788007,100.26038526224504,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,0.9667446527216264,-0.06968720105363246,-0.0038596542096199227,83.0,14.7,2.9,1.0525,0.0,8.47,0,9,17.5701,4.3231,12.52929840698517,0.9894041586503459,46.12255224623095,9.94390026266368,17.859561945717992,0.7829063161001812,0.0,0.0,0.0,0.0,0.0049776235,0.00488655069883681,0.0031124712,Low,52.62,ssp245
BIHAR,BHAGALPUR,1318.5576851537662,26.84083750645321,53.947956249133064,0.1810995781346337,2040,82.35768515376617,-0.1530175448347741,-0.1377157903512967,66.49469477906949,20.213158510549412,39.42309502789729,63.03789159049849,21.057938268757567,109.71624638546466,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,1.0568997244040297,-0.099594088665242,-0.0061050729707484985,86.1,15.6,3.1,1.0369,0.0,6.66,0,11,17.6003,4.3388,12.499420373830716,1.1802708446511936,44.76230788463144,10.517372403745627,17.23867478042297,0.7268654002306302,0.0,0.0,0.0,0.0,0.004361253,0.0036355453786675795,0.00064983516,Low,51.84,ssp245
BIHAR,BHOJPUR,919.3789884054504,26.22476558685304,48.31393750517194,0.15524441757685067,2040,35.991488405450355,-0.11514763717634041,-0.10363287345870638,56.56945563309811,14.967031645079949,36.59135623005535,74.88411444797704,17.398107270958477,93.33960179461188,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,0.7960068563620375,-0.9756510076235401,-0.0048860381861945135,64.8,9.9,1.7,1.0194,0.0,4.07,0,13,17.5785,4.2736,9.380504667068596,0.8947020628091171,49.87453019654776,10.113042982076408,18.563769278599842,0.8279019098980105,0.0,0.0,0.0,0.0,0.0021590225,0.001083853703790315,0.0031745222,Low,50.97,ssp245
BIHAR,BUXAR,903.9525068623525,,,0.16069102419757675,2040,24.791256862352498,-0.22989714442866138,-0.20690742998579525,53.1653409902311,14.899668431552021,33.573670428490466,70.80964376347177,21.861830074001148,87.72281263388132,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,,,-0.006960045872324183,33.3,3.6,0.5,1.0073,0.0,2.82,0,15,17.5711,4.1529,10.783026569590135,0.9804754350656117,50.506003965348924,10.511114164868959,18.589669389090623,0.900445740254253,0.0,0.0,0.0,0.0,0.0013888684,0.0048544345947688,0.0043268697,Low,50.36,ssp245
BIHAR,DARBHANGA,1166.8100921581831,,,0.16926740281968286,2040,93.31759215818306,0.2879243790863895,0.25913194117775057,72.18193863288266,17.715291696799774,39.48473672838193,74.99373247752965,18.89738148028589,119.10019874425639,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,,,-0.01064884366273941,33.3,3.6,0.5,1.0431,0.004263957,8.69,0,18,17.4927,4.1344,13.215347598565357,1.1167875292746778,48.80305528437219,10.497023899262947,17.606245907907052,0.869832663862743,0.0,0.0,0.0,0.0,-0.004263957,0.003290023977029806,0.0023959917,Low,49.64,ssp245
BIHAR,GAYA,1106.5707924486044,26.14619611501695,48.127277638114144,0.16161149507775707,2040,46.583292448604425,0.4308789825743675,0.38779108431693077,58.31985849215512,18.80958880116167,36.12997753335449,62.12545382421323,20.444869967075682,96.22776651205594,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,0.8069482326507682,-0.9360802940372537,-0.007499050678269087,62.3,9.3,1.6,1.0175,0.0,4.39,0,22,17.6821,4.2911,11.527453199079009,0.957046257349342,50.73159649932754,10.13253648390816,18.653713223551055,0.8057272554774525,0.0,0.0,0.0,0.0,0.00310076,-0.0010883622463123245,0.0038111804,Low,50.88,ssp245
